"NIS_code","municipality_NL","municipality_FR","arrondissement_NL","arrondissement_FR","province_NL","province_FR","region_NL","region_FR","inhabitants","zip"
11001,"Aartselaar","Aartselaar","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14427",2630
11002,"Antwerpen","Anvers","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","529247",2000
11004,"Boechout","Boechout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","13372",2530
11005,"Boom","Boom","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18555",2850
11007,"Borsbeek","Borsbeek","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10949",2150
11008,"Brasschaat","Brasschaat","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","38223",2930
11009,"Brecht","Brecht","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","29454",2960
11013,"Edegem","Edegem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","22261",2650
11016,"Essen","Essen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19162",2910
11018,"Hemiksem","Hemiksem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11634",2620
11021,"Hove","Hove","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8277",2540
11022,"Kalmthout","Kalmthout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18872",2920
11023,"Kapellen","Kapellen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","26981",2950
11024,"Kontich","Kontich","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21203",2550
11025,"Lint","Lint","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8641",2547
11029,"Mortsel","Mortsel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","26157",2640
11030,"Niel","Niel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10546",2845
