"NIS_code","municipality_NL","municipality_FR","arrondissement_NL","arrondissement_FR","province_NL","province_FR","region_NL","region_FR","inhabitants","zip"
13011,"Herentals","Herentals","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","28,117",2200
13012,"Herenthout","Herenthout","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8,951",2270
13013,"Herselt","Herselt","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14,537",2230
13014,"Hoogstraten","Hoogstraten","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21,333",2320
13016,"Hulshout","Hulshout","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10,382",2235
13017,"Kasterlee","Kasterlee","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18,600",2460
13019,"Lille","Lille","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","16,512",2275
13021,"Meerhout","Meerhout","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10,326",2450
13023,"Merksplas","Merksplas","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8,619",2330
13025,"Mol","Mol","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","36,544",2400
13029,"Olen","Olen","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","12,491",2250
13031,"Oud-Turnhout","Oud-Turnhout","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","13,517",2360
13035,"Ravels","Ravels","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14,871",2382
13036,"Retie","Retie","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11,240",2470
13037,"Rijkevorsel","Rijkevorsel","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11,932",2310
13040,"Turnhout","Turnhout","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","44,136",2300
13044,"Vorselaar","Vorselaar","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","7,848",2290
13046,"Vosselaar","Vosselaar","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11,159",2350
13049,"Westerlo","Westerlo","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","24,884",2260
13053,"Laakdal","Laakdal","Turnhout","Turnhout","Antwerpen","Anvers","Vlaams Gewest","Région flamande","16,020",2430
21001,"Anderlecht","Anderlecht","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","118,382",1070
21002,"Oudergem","Auderghem","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","33,740",1160
21003,"Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","24,830",1082
21004,"Brussel","Bruxelles","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","179,277",1000
21005,"Etterbeek","Etterbeek","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","47,786",1040
21006,"Evere","Evere","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","41,131",1140
21007,"Vorst","Forest","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","56,008",1190
21008,"Ganshoren","Ganshoren","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","24,865",1083
21009,"Elsene","Ixelles","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","86,513",1050
21010,"Jette","Jette","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","52,201",1090
21011,"Koekelberg","Koekelberg","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","21,774",1081
21012,"Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","97,005",1080
21013,"Sint-Gillis","Saint-Gilles","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","50,002",1060
21014,"Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","27,032",1210
21015,"Schaarbeek","Schaerbeek","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","133,010",1030
21016,"Ukkel","Uccle","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","82,275",1180
21017,"Watermaal-Bosvoorde","Watermael-Boitsfort","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","25,012",1170
21018,"Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","56,303",1200
21019,"Sint-Pieters-Woluwe","Woluwe-Saint-Pierre","Brussel-Hoofdstad","Bruxelles-Capitale","","","Brussels Hoofdstedelijk Gewest","Région de Bruxelles-Capitale","41,580",1150
23002,"Asse","Asse","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","32,958",1730
23003,"Beersel","Beersel","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","25,069",1652
23009,"Bever","Biévène","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","2,204",1547
23016,"Dilbeek","Dilbeek","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","42,434",1700
23023,"Galmaarden","Gammerages","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","8,725",1570
23024,"Gooik","Gooik","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","9,236",1755
23025,"Grimbergen","Grimbergen","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","37,355",1852
23027,"Halle","Hal","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","39,096",1501
23032,"Herne","Herne","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","6,643",1540
23033,"Hoeilaart","Hoeilaart","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","11,172",1560
23038,"Kampenhout","Kampenhout","Halle-Vilvoorde","Hal-Vilvorde","Vlaams-Brabant","Brabant flamand","Vlaams Gewest","Région flamande","11,898",1910
