"NIS_code","municipality_NL","municipality_FR","arrondissement_NL","arrondissement_FR","province_NL","province_FR","region_NL","region_FR","inhabitants","zip"
11001,"Aartselaar","Aartselaar","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","14 293",2630
11002,"Antwerpen","Anvers","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","525 935",2000
11004,"Boechout","Boechout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","13 266",2530
11005,"Boom","Boom","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18 244",2850
11007,"Borsbeek","Borsbeek","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10 854",2150
11008,"Brasschaat","Brasschaat","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","37 946",2930
11009,"Brecht","Brecht","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","29 268",2960
11013,"Edegem","Edegem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","22 063",2650
11016,"Essen","Essen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19 038",2910
11018,"Hemiksem","Hemiksem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","11 559",2620
11021,"Hove","Hove","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8 125",2540
11022,"Kalmthout","Kalmthout","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18 695",2920
11023,"Kapellen","Kapellen","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","26 850",2950
11024,"Kontich","Kontich","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","21 115",2550
11025,"Lint","Lint","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8 718",2547
11029,"Mortsel","Mortsel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","26 099",2640
11030,"Niel","Niel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","10 501",2845
11035,"Ranst","Ranst","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19 008",2520
11037,"Rumst","Rumst","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","15 090",2840
11038,"Schelle","Schelle","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","8 518",2627
11039,"Schilde","Schilde","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","19 652",2970
11040,"Schoten","Schoten","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","34 517",2900
11044,"Stabroek","Stabroek","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","18 710",2940
11050,"Wijnegem","Wijnegem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","9 816",2110
11052,"Wommelgem","Wommelgem","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","12 865",2160
11053,"Wuustwezel","Wuustwezel","Antwerpen","Anvers","Antwerpen","Anvers","Vlaams Gewest","Région flamande","20 970",2990
